Rank,Nation,Gold,Silver,Bronze,Total
1,China (CHN),1674,1105,791,3570
2,Japan (JPN),1084,1104,1054,3242
3,South Korea (KOR),787,722,916,2425
4,Iran (IRI),192,202,217,611
5,India (IND),183,239,357,779
6,Kazakhstan (KAZ),165,180,292,637
7,Thailand (THA),144,189,311,644
8,North Korea (PRK),120,162,189,471
9,Chinese Taipei (TPE),118,164,304,586
10,Uzbekistan (UZB),105,138,171,414
11,Indonesia (INA),98,130,264,492
12,Philippines (PHI),71,116,241,428
13,Malaysia (MAS),69,109,166,344
14,Bahrain (BHR),49,28,28,105
15,Qatar (QAT),48,37,59,144
16,Hong Kong (HKG),46,96,141,283
17,Singapore (SIN),44,64,121,229
18,Pakistan (PAK),44,64,99,207
19,Kuwait (KUW),29,34,38,101
20,Saudi Arabia (KSA),29,15,27,71
21,Mongolia (MGL),28,51,104,183
22,Vietnam (VIE),21,75,112,208
23,Israel (ISR),18,16,19,53
24,Myanmar (MYA),17,28,57,102
25,United Arab Emirates (UAE),12,22,27,61
26,Sri Lanka (SRI),12,12,22,46
27,Syria (SYR),9,8,16,33
28,Kyrgyzstan (KGZ),8,25,47,80
29,Iraq (IRQ),7,17,26,50
30,Tajikistan (TJK),6,8,21,35
31,Jordan (JOR),5,21,28,54
32,Lebanon (LBN),5,5,9,19
33,Turkmenistan (TKM),3,9,18,30
34,Cambodia (CAM),3,2,5,10
35,Macau (MAC),2,14,22,38
36,Bangladesh (BAN),1,5,8,14
37,Oman (OMA),1,1,4,6
38,Korea (COR),1,1,2,4
39,Afghanistan (AFG),0,5,11,16
40,Laos (LAO),0,4,14,18
41,Nepal (NEP),0,3,23,26
42,Brunei (BRU),0,1,5,6
43,Palestine (PLE),0,0,2,2
,Yemen (YEM),0,0,2,2
Totals (44 entries),,5258,5231,6390,16879
